Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
37.62226512,1,3,10,3,1,2,3,1,3,0,2,1,5,1,0,2,22347,0
32,1,3,13,3,2,3,3,1,3,0,5,0,5,1,1,2,24204,0
34,1,1,6,2,1,2,4,0,4,0,6,0,1,1,1,1,18294,0
41,1,1,11,3,2,2,1,0,3,0,3,1,1,1,1,1,17127,0
37.62226512,0,1,15,2,2,2,3,1,3,1,4,0,3,1,0,2,22347,0
31,1,3,14,2,2,2,3,3,3,1,2,0,3,1,0,3,25793,0
46,1,3,15,3,2,2,3,3,3,1,5,0,3,0,1,3,25096,1
37.62226512,0,1,8,2,1,2,4,0,5,2,3,1,3,0,0,1,18646,1
31,0,1,6,2,1,3,1,3,4,3,2,0,3,1,2,3,22446,1
45,1,1,26,3,2,3,5,3,5,1,3,1,3,0,0,3,25851,0
31,1,2,14,3,1,3,1,0,4,2,1,0,1,0,2,1,17109,0
37.62226512,0,1,8,2,2,3,3,0,3,0,7,1,3,1,1,1,22347,1
45,1,1,35,1,2,2,3,3,3,0,5,1,5,1,0,3,24380,0
48,1,3,13,3,2,3,3,1,5,1,5,0,4,1,1,2,20486,0
34,1,2,15,1,1,2,3,0,3,0,2,0,1,1,0,1,17742,1
40,0,1,14,3,2,2,4,3,4,1,3,0,1,1,1,3,28757,0
28,1,3,11,3,2,2,3,1,5,3,1,0,1,1,0,2,23463,0
44,0,1,11,2,2,2,4,0,3,2,4,0,1,0,1,1,18162,0
53,1,1,8,3,2,2,1,4,4,2,5,0,1,1,0,0,31598,0
49,1,1,11,1,2,3,3,1,3,0,3,0,3,0,0,2,21651,0
40,1,1,8,3,2,3,3,0,3,1,3,0,1,0,0,1,17345,0
37.62226512,1,1,26,2,2,2,3,0,4,2,2,0,5,1,1,1,18420,0
34,1,3,15.49083459,2,2,2,5,1,5,2,4,0,5,1,1,2,19759,0
30,1,3,22,2,2,3,3,1,3,0,1,0,3,0,2,2,20301,0
37.62226512,0,1,15,3,1,3,3,0,3,2,2,0,4,1,1,1,18673,0
44,0,3,15.49083459,3,1,3,3,1,3,0,1,0,4,1,1,2,19768,0
30,0,1,13,1,2,3,3,0,3,1,2,0,5,0,0,1,16274,0
57,1,1,6,2,2,3,1,1,3,0,1,0,3,1,2,2,19900,0
49,1,1,13,2,2,2,3,3,4,1,4,0,4,0,1,3,25466,0
34,0,1,21,3,2,3,3,4,5,1,1,0,4,1,2,0,32007,0
28,0,3,6,1,2,3,3,0,3,0,4,0,3,1,0,1,17909,1
29,0,3,19,1,1,2,3,1,4,2,6,0,3,0,1,2,20765,1
34,1,3,15.49083459,3,1,2,4,1,4,2,1,1,5,1,0,2,19599,1
35,1,3,13,2,2,3,3,0,3,0,2,0,3,1,0,1,17404,0
24,0,1,15,3,2,2,3,0,5,2,3,1,3,0,1,1,18172,1
24,0,3,19,2,1,3,3,0,4,0,2,0,1,0,0,1,17033,0
44,0,1,8,3,2,2,3,3,3,3,6,1,1,0,1,3,25209,0
29,1,3,25,2,2,3,4,1,3,1,2,0,4,1,0,2,23620,0
30,1,2,6,2,2,2,3,0,3,1,1,0,1,0,1,1,17064,0
37.62226512,1,1,10,2,2,1,3,1,3,0,1,1,4,0,0,2,22347,0
37.62226512,1,1,10,3,1,2,4,0,4,0,1,0,1,0,0,1,22347,0
47,1,3,15.49083459,3,1,3,3,1,3,0,4,1,5,1,0,2,19591,0
28,0,1,8,3,2,2,4,0,5,2,1,0,4,0,0,1,17561,1
28,1,1,6,2,2,3,4,0,3,1,2,0,4,0,1,1,16563,0
28,0,3,15.49083459,2,2,2,3,1,5,2,1,0,3,1,1,2,19898,0
49,1,1,15.49083459,3,1,2,4,1,5,0,5,0,3,1,1,2,19789,0
29,0,1,8,2,1,3,3,0,4,0,1,0,5,0,2,1,18180,0
28,1,1,35,2,2,3,5,1,4,0,2,0,1,1,2,2,21549,0
33,1,1,14,2,2,3,3,1,3,3,3,1,3,0,2,2,21388,0
32,1,1,16,3,2,1,3,3,3,3,3,0,1,0,0,3,26244,0
54,0,1,17,3,1,2,3,4,3,1,4,0,3,1,0,0,31032,0
29,1,1,6,1,2,3,4,0,5,2,7,0,3,0,2,1,17362,1
44,1,1,34,2,2,2,3,4,5,0,4,0,1,1,0,0,31328,0
39,1,1,12,2,1,2,3,3,4,3,5,0,3,0,1,3,23376,0
46,1,3,9,2,1,2,3,4,4,0,1,0,4,1,0,0,31606,0
35,1,1,22,2,0,3,4,3,4,3,2,0,1,1,2,3,23606,0
23,1,1,26,2,2,3,3,1,3,2,1,0,4,1,2,2,17272,0
40,1,1,15,2,2,2,3,0,5,2,4,0,1,1,1,1,17018,1
34,1,3,6,1,2,3,4,3,3,0,2,1,1,1,1,3,22083,0
37.62226512,0,1,9,2,1,2,3,0,3,2,2,0,4,1,1,1,22347,1
50,0,1,28,3,2,2,5,4,3,2,2,1,1,1,1,0,29411,0
34,1,3,13,1,2,2,3,0,3,1,1,1,1,0,1,1,17308,0
42,1,1,15.49083459,3,2,3,4,0,4,1,5,0,1,1,2,1,19841,0
37,1,1,15.49083459,3,2,2,3,1,3,1,2,0,1,0,0,2,22347,0
29,1,1,14,2,1,2,5,1,5,1,4,0,1,0,0,2,24715,0
33,1,1,15.49083459,2,2,2,4,1,4,2,2,0,1,0,1,2,22347,0
45,1,1,34,1,2,3,3,0,3,1,5,0,3,1,2,1,17132,0
42,0,1,8,2,2,2,3,3,3,1,3,1,3,1,0,3,25124,0
40,1,3,15,3,2,2,3,1,5,1,1,0,3,1,1,2,20473,0
33,1,1,34,2,2,3,3,1,3,1,2,1,1,1,0,2,20207,0
40,1,2,12,3,2,2,3,4,3,2,2,1,3,1,1,0,31437,0
24,1,1,27,1,2,2,4,0,5,1,1,0,3,0,0,1,17296,0
37.62226512,0,1,14,2,2,3,3,1,3,1,4,1,3,1,1,2,22347,0
45,1,1,6,1,2,3,3,3,4,1,2,0,3,1,1,3,22441,0
35,1,3,34,2,1,3,4,0,3,1,1,0,4,1,2,1,17430,0
32,1,1,11,2,1,3,4,1,4,1,4,0,3,1,0,2,20878,0
36,1,3,8,2,2,3,3,0,3,2,4,1,3,0,0,1,17644,0
48,1,3,22,2,1,3,3,1,3,1,1,0,4,1,0,2,21439,0
29,1,1,15,2,2,3,1,0,3,1,7,0,5,1,0,1,17451,0
33,1,3,14,2,2,2,3,1,5,1,3,0,5,1,0,2,21392,0
30,1,3,6,2,2,3,4,1,5,1,2,0,4,1,1,2,24714,1
38,0,2,16,2,2,3,3,1,3,1,4,0,3,0,2,2,21077,0
35,1,1,6,3,2,3,4,0,5,2,2,0,1,0,2,1,17450,0
30,1,3,35,1,2,2,3,3,4,1,4,0,4,0,1,3,24250,0
35,1,1,8,2,1,3,3,0,5,1,2,1,1,1,1,1,17074,1
53,1,1,8,1,1,3,4,3,3,1,1,0,5,1,2,3,25169,1
38,1,1,15.49083459,3,2,2,3,1,4,1,5,0,4,0,0,2,19855,1
37.62226512,0,1,6,1,2,3,3,1,5,1,5,0,4,1,2,2,22347,0
48,1,1,21,2,1,3,3,0,5,1,1,0,1,1,0,1,17367,0
34,1,1,13,3,2,2,3,0,3,2,2,0,1,0,1,1,17972,0
55,1,3,32,3,2,2,4,2,3,1,2,0,3,1,1,4,34586,0
34,1,1,6,2,2,2,3,1,3,1,1,0,4,1,0,2,20484,0
26,1,1,9,2,1,2,3,0,3,1,2,0,3,1,1,1,17061,0
38,1,3,20,2,2,3,3,1,4,1,1,0,5,1,2,2,24924,0
37.62226512,1,3,22,2,1,2,3,1,4,2,3,0,1,0,0,2,22347,0
36,1,3,6,2,1,3,3,1,3,3,7,0,1,1,1,2,21815,0
29,1,1,15.49083459,3,2,2,3,0,5,2,2,1,3,0,1,1,19723,0
35,1,1,16,3,1,2,3,1,3,2,4,1,1,1,0,2,21142,0
39,1,3,12,3,2,2,1,3,3,1,3,0,4,1,1,3,23237,0
29,0,1,8,2,2,2,3,1,3,1,2,0,3,0,0,2,23853,0
50,1,3,5,3,2,2,3,2,3,1,5,1,5,0,1,4,34331,0
23,1,1,16,1,2,2,1,0,3,1,3,0,1,1,0,1,17073,0
36,0,1,12,2,2,3,1,1,5,1,4,1,4,1,1,2,20562,0
42,1,1,15,2,2,3,4,2,3,2,1,0,1,1,1,4,34613,0
37.62226512,1,1,34,2,2,2,1,1,3,1,2,0,5,1,0,2,18407,0
34,0,1,16,1,2,3,4,1,3,1,2,0,4,1,1,2,20063,0
40,1,3,15.49083459,2,1,2,3,1,5,1,2,0,3,0,1,2,19639,0
43,1,1,15.49083459,1,2,2,1,0,4,1,6,0,5,1,1,1,19876,0
35,1,1,13,2,2,3,4,0,3,1,2,0,3,1,0,1,17690,0
46,1,3,6,2,2,2,1,4,5,2,2,0,4,1,1,0,32567,0
28,1,1,30,3,2,2,3,0,4,1,2,1,1,0,0,1,17408,1
22,0,1,32,2,1,2,4,0,3,1,2,1,3,0,0,1,17814,0
50,0,1,26,3,2,2,3,4,3,1,3,1,4,1,1,0,26245,0
32,1,1,11,2,1,2,1,0,3,1,4,0,5,1,1,1,18312,0
44,1,1,13,3,1,2,3,2,3,1,1,1,4,1,1,4,34049,0
30,1,1,13,3,2,2,4,0,4,1,2,0,5,0,0,1,17141,0
45,1,1,11,3,1,2,5,1,5,2,2,1,3,1,0,2,20769,0
31,0,3,8,2,2,2,3,1,5,2,1,0,1,0,0,2,20332,0
36,1,1,15.49083459,2,1,3,3,1,3,1,1,1,1,0,2,2,19663,0
34,0,1,15.49083459,2,2,2,1,1,3,1,2,0,4,1,0,2,19724,0
49,1,1,31,2,1,2,3,0,5,1,2,0,3,0,0,1,18211,0
39,1,1,16,3,2,3,3,1,5,1,3,0,5,1,2,2,20377,0
37.62226512,1,1,25,2,2,3,4,0,5,1,2,0,1,0,0,1,22347,0
35,1,1,24,2,2,2,1,1,5,1,2,0,3,0,1,2,20208,0
28,1,1,33,3,1,2,5,1,5,1,1,0,4,1,0,2,20208,0
21,1,1,11,3,2,3,3,0,3,2,2,0,1,1,1,1,18117,0
18,0,3,9,3,1,3,3,0,3,2,2,1,5,0,1,1,16569,1
47,1,2,32,2,1,3,3,2,3,1,4,0,4,1,1.187266694,4,34658,0
39,1,1,9,3,2,3,4,1,3,1,1,0,4,0,2,2,18069,0
40,1,1,21,2,1,3,4,3,3,1,2,0,1,1,1,3,25435,0
37.62226512,0,1,14,2,1,2,3,1,3,1,2,0,5,1,1,2,22347,0
37,1,1,25,2,2,2,3,1,3,1,4,0,1,0,0,2,20768,0
39,0,1,10,3,1,2,3.708445179,1,3,2,1,0,3,1,0,2,20042,0
45,1,1,8,2,1,2,4,1,3,1,2,0,4,1,1,2,20770,0
38,1,1,8,3,1,2,4,3,3,1,4,1,5,1,1,3,22756,0
35,1,3,16,3,2,2,4,3,5,1,1,0,5,1,1,3,25306,1
37.62226512,1,1,16,3,1,3,3,0,4,1,2,0,1,1,0,1,22347,0
40,1,1,22,2,1,2,3,3,3,3,7,1,4,1,0,3,22945,0
44,0,2,6,2,2,2,3,1,3,1,5,1,5,1,1,2,20743,0
48,0,1,10,3,2,2,4,4,3,1,3,0,5,1,1,0,30202,0
35,1,3,21,3,2,2,5,1,3,1,7,1,1,1,1,2,20440,1
37.62226512,0,1,8,1,1,2,3,0,3,2,2,1,3,1,1,1,22347,0
37.62226512,1,1,14,3,1,2,1,0,3,1,1,0,4,0,0,1,18517,0
27,0,1,8,3,2,2,3,0,3,2,3,0,3,0,1,1,17580,0
40,1,1,13,2,2,3,3,0,5,2,4,1,3,0,1,1,17166,1
29,1,3,16,3,2,2,4,1,3,2,1,0,4,1,0,2,20869,0
36,1,1,11,2,1,2,3,3,5,1,5,0,4,1,1,3,23008,0
25,0,1,8,2,2,3,1,1,3,1,2,0,1,0,1,2,20206,0
39,1,1,18,3,2,3,3,1,4,1,5,0,3,1,1,2,20295,0
49,1,1,28,2,1,3,3,4,4,1,4,0,4,0,1,0,31413,0
50,1,1,23,2,1,2,4,3,5,1,6,0,3,1,0,3,28269,0
20,1,3,8,3,1,2,3,0,3,2,2,0,4,0,0,1,17783,0
34,1,1,9,2,1,3,3,1,4,1,2,0,5,1,2,2,20433,0
36,1,1,13,2,2,3,3,0,4,2,3,0,1,0,2,1,17013,0
49,1,1,12,2,1,2,4,4,3,1,3,1,5,1,0,0,28966,0
36,1,1,9,2,2,3,1,1,5,1,7,0,1,1,2,2,21842,0
54,1,1,28,3,1,3,3,4,3,1,4,0,1,1,1,0,32426,0
43,1,1,21,2,2,3,4,4,3,1,2,0,3,1,1,0,32603,0
35,0,3,15.49083459,2,2,2,3,1,3,2,4,1,3,1,0,2,19581,1
38,0,1,15.49083459,2,2,2,3,1,3,1,1,0,5,1,0,2,19735,0
37.62226512,1,3,11,3,2,2,4,1,4,1,2,1,5,0,0,2,22347,0
33,1,3,8,3,2,3,3,1,3,1,2,0,3,1,1,2,20505,0
32,1,1,8,3,2,2,3,1,4,1,1,0,4,0,1,2,20470,0
31,1,3,11,2,1,3,3,1,3,1,2,0,1,0,2,2,20476,0
49,1,1,22,3,1,3,3,0,5,1,5,1,1,1,1,1,17587,0
38,0,1,8,3,1,2,4,0,4,2,2,0,1,1,0,1,17440,0
47,1,3,8,2,1,2,1,4,4,1,7,0,1,0,0,0,30972,0
49,1,1,6,2,2,2,3,4,3,2,5,0,3,1,0,0,30379,0
41,1,3,29,2,2,3,3,3,3,3,4,1,3,0,2,3,22082,0
20,1,3,15,2,2,2,3,0,5,2,2,0,1,0,1,1,17728,0
33,0,3,22,2,1,2,3,1,3,1,2,1,1,0,0,2,20368,0
36,1,1,32,2,2,3,3,1,3,1,7,0,3,1,0,2,20347,0
44,1,2,6,2,1,2,3,0,3,1,5,1,3,1,0,1,18195,0
37.62226512,1,1,14,3,2,3,4,0,3,2,2,1,4,1,2,1,22347,1
38,1,1,10,3,1,2,3,0,3,1,1,0,5,0,0,1,18306,0
53,1,1,30,3,2,2,1,3,3,1,4,0,3,0,1,3,22005,0
48,0,3,13,3,1,3,3,0,3,1,3,1,4,1,1,1,17655,1
32,1,1,8,2,2,3,3,0,4,2,2,0,3,1,1,1,16393,1
26,0,1,13,3,2,3,3,0,3,2,2,0,4,1,2,1,17570,0
37.62226512,1,1,28,1,2,3,4,0,4,1,6,0,1,1,1,1,18537,0
37.62226512,1,1,11,3,2,2,4,1,3,1,2,0,4,1,1,2,22347,0
60,1,1,6,3,2,3,5,3,3,1,4,0,5,0,0,3,25883,0
33,1,1,27,3,2,3,1,0,4,1,2,0,1,1,1,1,17028,0
37,0,3,6,3,2,2,5,1,3,1,2,0,1,0,1,2,24525,0
34,1,1,25,2,1,2,4,0,3,1,2,0,4,1,1,1,17929,0
23,1,3,13,2,2,2,3,0,3,1,2,1,1,1,0,1,17275,1
44,1,1,8,2,1,3,1,3,3,1,2,1,4,1,0,3,22879,0
35,0,1,8,3,2,3,3.708445179,0,3,2,1,1,3,1,0,1,19930,0
43,1,3,8,3,2,3,3,1,3,1,2,1,3,0,0,2,22847,0
41,1,3,12,3,2,2,3,3,3,3,2,0,5,1,0,3,24241,0
29,1,1,15,3,1,2,3,0,3,1,1,0,5,1,1,1,17974,0
36,1,3,15.49083459,2,1,2,3,1,3,2,4,0,4,1,1,2,19502,0
45,0,1,6,2,2,3,4,3,3,1,4,0,1,1,2,3,25748,0
24,1,2,28,2,2,2,5,0,3,1,2,0,1,0,1,1,16555,1
47,0,3,15,2,2,2,5,4,3,1,1,0,5,1,1,0,27936,1
26,1,1,23,3,2,3,5,0,3,1,2,0,3,0,2,1,17305,0
45,1,1,34,1,1,2,4,4,4,2,2,0,3,1,0,0,31704,0
37.62226512,0,1,16,2,2,2,3,0,3,1,7,0,1,0,0,1,18433,0
37.62226512,1,1,8,2,2,3,3,0,3,1,2,0,5,0,2,1,18477,0
41,0,2,10,2,2,2,5,1,4,1,7,0,5,0,1,2,21430,0
40,1,1,14,2,1,3,3,1,5,1,3,1,1,0,0,2,21516,0
37.62226512,1,1,35,3,2,3,3,0,5,1,2,0,4,1,1,1,22347,0
46,1,1,19,2,2,2,3,1,4,2,7,0,4,1,0,2,20562,0
35,1,1,33,2,2,2,3,1,3,1,3,0,5,0,1,2,21883,0
30,1,1,22,2,2,2,3,0,3,1,2,0,1,0,0,1,17862,0
47,0,3,8,3,2,2,3.708445179,1,4,1,1,0,1,0,1,2,19978,0
46,1,3,8,2,2,3,3,3,3,1,5,1,3,0,2,3,25368,0
36,1,3,19,3,2,3,4,1,5,1,6,1,1,1,0,2,21134,1
32,1,3,6,2,2,2,5,1,4,3,7,0,3,0,1,2,21735,1
23,1,1,10,3,1,2,3,0,4,2,2,0,3,1,1,1,18295,0
31,0,1,30,1,1,1,3,1,3,2,3,0,1,1,0,2,20238,0
39,0,1,6,2,2,3,3,1,3,1,2,1,5,1,2,2,21472,0
32,1,3,25,2,2,3,5,3,3,1,4,0,3,1,2,3,24610,0
40,1,3,13,3,2,2,3,2,4,2,2,0,4,1,1.187266694,4,34833,0
45,1,2,10,2,1,2,5,3,3,1,5,0,1,1,1,3,24756,0
30,0,1,8,1,1,3,3.708445179,0,5,2,1,0,3,0,1,1,19968,0
24,0,2,16,3,2,2,3,0,3,1,1,0,4,1,1,1,17145,0
30,0,2,14,2,1,3,4,0,3,1,7,0,5,1,2,1,17180,1
31,1,3,11,1,2,2,3,1,3,1,2,0,5,0,1,2,23346,0
37.62226512,1,1,14,3,1,3,3,0,3,2,2,0,4,1,2,1,18445,0
29,1,3,15,3,1,2,5,0,4,2,2,0,1,1,1,1,17760,1
29,0,1,6,2,2,3,1,1,3,3,1,1,3,0,1,2,21294,0
30,1,3,21,3,2,3,4,3,5,1,3,0,1,0,2,3,22140,0
34,1,1,8,3,2,3,1,0,3,1,1,1,1,0,1,1,17932,0
33,0,3,8,3,1,3,3,1,4,2,1,0,1,0,0,2,20147,0
49,1,3,15.49083459,3,1,3,3,1,3,2,4,0,4,0,1,2,19507,0
33,1,3,22,2,0,3,3,3,5,3,3,1,5,0,0,3,23564,1
38,0,1,8,3,1,3,4,0,4,1,5,0,3,0,0,1,17468,0
31,1,3,22,3,2,3,3,3,3,1,3,0,5,1,0,3,23161,1
29,1,1,10,1,1,3,4,0,5,1,2,0,4,0,0,1,17109,0
30,1,1,22,2,2,2,1,1,3,1,4,0,1,1,0,2,20294,0
32,0,1,11,1,2,3,3,0,4,2,3,0,3,1,1,1,17718,0
38,1,1,24,3,2,2,5,1,3,1,4,1,5,0,1,2,20811,0
43,0,1,23,1,2,2,4,0,3,1,1,1,5,1,1,1,17437,1
42,1,1,18,3,2,2,3,0,4,1,1,0,1,1,1,1,17766,0
55,1,1,8,3,2,2,4,2,5,1,1,0,5,0,1,4,34038,0
33,0,1,10,1,2,2,3,1,4,1,6,0,1,0,0,2,18055,0
41,1,1,15,2,2,3,3,0,5,1,2,0,5,1,1,1,17289,0
37.62226512,0,3,16,2,2,2,3,1,3,1,2,1,1,1,1,2,22347,0
53,0,1,6,3,1,2,4,4,3,1,5,1,1,0,0,0,27965,0
37.62226512,1,2,8,2,2,3,3,0,3,2,1,0,1,0,0,1,18539,0
34,1,3,9,2,1,2,5,1,3,2,6,0,1,1,0,2,21029,0
21,1,3,13,3,2,2,3,0,4,2,2,0,5,1,1,1,17679,1
37.62226512,1,1,12,2,1,2,4,0,3,1,2,0,3,0,1,1,18702,0
22,1,1,14,3,1,3,3,0,5,1,2,1,3,0,1,1,17398,1
31,1,3,35,3,1,3,4,1,3,1,2,0,3,1,0,2,20468,0
51,1,1,9,1,1,2,3,3,3,1,3,0,4,1,1,3,28116,0
37.62226512,1,3,15,3,2,2,4,1,4,1,2,0,4,0,1,2,22347,0
46,1,1,8,3,2,2,3,2,3,1,1,1,1,1,1,4,34328,0
36,1,1,16,2,2,2,3,3,5,1,1,1,5,1,1,3,23321,0
44,0,1,6,3,2,2,3,0,4,1,2,1,3,1,1,1,17342,1
37.62226512,1,2,14,2,2,2,3,1,4,1,3,0,3,1,1,2,22347,0
35,1,3,33,2,2,2,3,1,3,2,2,1,5,0,0,2,20813,1
33,1,1,14,2,2,2,1,0,5,1,7,0,3,1,1,1,18143,0
28,1,1,6,2,2,2,3,0,3,1,2,0,1,0,0,1,17044,0
39,1,1,16,3,2,3,3,3,3,3,1,0,3,1,0,3,28464,0
46,0,3,32,2,2,3,4,1,4,3,1,0,4,1,2,2,22991,0
37.62226512,1,1,8,2,1,2,3,0,5,1,5,0,4,1,1,1,18377,0
42,1,1,19,3,2,3,1,1,5,1,6,0,4,1,0,2,20538,0
35,0,1,8,3,2,2,3,1,3,1,3,0,3,0,1,2,20762,0
38,0,2,8,2,2,3,3,0,4,1,6,0,3,1,2,1,17592,0
34,0,1,15,2,2,3,3,1,5,1,5,0,3,0,1,2,20346,1
37.62226512,1,1,16,3,2,2,3,1,5,2,2,0,4,0,0,2,22347,1
37.62226512,0,3,26,2,2,2,3,1,3,1,3,0,3,1,0,2,22347,0
43,0,1,15,2,2,2,3,0,3,2,5,0,3,0,1,1,17438,0
41,1,1,11,2,2,2,1,1,4,3,4,0,5,1,0,2,21870,0
41,1,3,10,3,1,2,3,3,3,1,1,1,1,0,1,3,25447,0
30,1,1,16,3,0,3,3,3,3,3,1,0,4,0,0,3,24667,0
26,1,2,26,3,1,3,3,0,4,1,1,1,3,0,1,1,17148,1
46,1,1,27,3,1,3,3,1,4,1,5,0,3,1,2,2,23926,1
40,1,1,6,2,1,2,3,1,3,1,5,0,3,0,1,2,21513,0
34,1,3,14,1,2,3,1,1,3,1,2,0,1,0,2,2,21799,0
58,0,3,8,3,2,2,3,4,4,1,5,0,4,1,0,0,17705,0
35,1,1,29,3,2,3,5,0,3,1,1,0,1,1,0,1,17705,0
47,1,1,10,2,1,3,4,3,4,1,1,1,4,1,2,3,25333,0
40,1,1,15.49083459,2,1,2,3,1,5,1,3,0,1,1,1,2,22347,0
54,1,1,13,3,1,3,3,1,3,1,5,0,3,1,1,2,21854,0
31,0,3,13,3,1,3,3,3,5,1,3,0,1,1,2,3,24637,0
37.62226512,1,1,6,3,1,3,3,0,5,1,2,0,1,1,0,1,18591,0
38,1,3,8,3,1,3,5,1,3,1,3,1,3,0,0,2,20405,0
26,1,3,15.49083459,3,2,2,3,1,3,2,2,0,1,0,0,2,19684,0
58,0,1,21,2,2,2,3,4,3,1,3,1,1,1,0,0,30787,0
18,0,1,20,3,1,2,3,0,3,2,2,0,5,1,0,1,16514,0
31,1,2,24,2,2,2,1,0,5,1,1,0,1,1,0,1,17956,1
29,1,2,19,2,2,2,4,0,5,1,5,1,5,1,1,1,17335,1
45,0,3,8,2,1,3,3,1,3,1,5,0,1,1,2,2,20154,0
36,1,1,8,2,1,3,3,1,4,1,5,1,4,0,0,2,21962,0
43,0,3,8,2,2,3,3,1,3,1,2,0,3,1,2,2,20675,0
27,0,1,11,2,1,2,3,0,3,2,1,1,1,1,1,1,17379,0
37.62226512,0,1,26,3,2,2,3,0,3,1,2,0,3,1,1,1,22347,0
32,0,3,15.49083459,3,2,3,3,1,3,2,1,0,3,1,1,2,19648,0
42,0,1,16,1,2,2,3,0,3,1,4,0,4,1,0,1,17936,0
47,1,1,15,2,1,3,3,0,3,2,5,0,3,1,0,1,17105,0
46,1,1,8,2,2,2,3,3,3,1,4,0,1,1,1,3,23578,0
28,0,2,6,2,2,2,3,0,3,1,2,0,4,0,1,1,17706,0
29,1,1,35,2,2,3,5,1,3,1,1,0,5,1,2,2,21384,0
37.62226512,1,1,14,2,2,2,3,0,3,2,5,0,1,1,1,1,22347,0
32,1,3,8,3,2,2,4,1,4,3,1,1,1,1,0,2,24907,1
46,1,3,9,1,1,2,1,4,5,1,3,0,3,1,0,0,28225,0
37.62226512,1,3,29,3,1,2,4,1,3,1,2,0,1,1,1,2,18540,0
29,1,2,12,3,2,2,4,0,4,1,2,0,3,1,1,1,17804,0
43,1,1,12,3,1,2,4,2,3,1,1,0,3,1,1,4,34392,0
48,1,1,16,2,2,3,4,2,4,1,5,0,3,1,1.187266694,4,34665,0
29,0,1,30,2,2,3,4,0,3,2,2,1,3,1,2,1,17439,1
46,1,3,16,2,1,3,3,3,4,1,6,0,1,0,2,3,22314,1
27,0,1,15.49083459,2,1,3,4,0,5,1,1,0,4,1,0,1,19774,0
37.62226512,1,1,25,2,2,2,3,1,3,1,1,0,5,1,0,2,22347,0
55,1,1,8,1,2,3,4,0,3,1,1,0,5,0,0,1,17662,0
28,1,3,9,3,1,3,3,0,4,1,2,0,1,1,0,1,17856,0
30,1,3,15,3,2,2,3,0,3,2,2,0,5,0,0,1,16081,1
22,1,1,13,2,2,3,3,0,4,2,2,1,3,1,0,1,17472,1
36,1,3,16,1,1,3,4,1,3,1,2,1,1,1,2,2,20673,0
37.62226512,1,1,26,2,2,2,3,1,3,1,2,0,5,0,0,2,22347,0
34,1,3,10,2,2,3,3,3,3,1,3,1,4,0,2,3,24713,0
29,1,1,13,2,2,2,3,0,5,2,4,0,4,0,0,1,17062,0
37,1,1,15.49083459,3,2,3,3,1,5,1,6,1,3,0,0,2,22347,0
35,1,1,15.49083459,2,1,2,4,1,4,1,1,1,1,1,1,2,19788,0
45,1,1,31,2,1,3,4,1,3,1,1,0,4,0,0,2,20906,0
37.62226512,0,2,8,2,2,3,4,1,3,2,2,0,3,1,0,2,22347,0
40,1,1,6,2,2,3,3,4,5,1,3,0,3,1,2,0,31823,0
26,1,1,6,2,1,2,4,0,3,1,2,1,4,0,0,1,17933,0
27,1,3,8,3,1,2,1,1,3,3,1,0,1,0,1,2,21500,0
48,0,1,28,3,1,2,3,4,3,1,4,0,5,0,0,0,32174,0
44,1,1,6,2,2,3,3.708445179,1,5,1,3,0,3,1,2,2,20033,0
34,0,1,22,1,2,2,5,0,5,1,2,1,3,1,0,1,17307,1
56,1,1,30,2,2,3,3,0,3,2,2,0,3,0,0,1,17587,1
36,1,3,23,3,2,2,4,1,4,1,3,0,4,1,0,2,20507,0
42,1,1,12,3,2,2,3,3,5,1,1,0,3,1,0,3,28348,0
31,1,3,16,3,1,2,3,1,3,1,3,1,1,0,0,2,21583,0
34,1,3,9,3,1,3,4,1,3,1,4,1,3,0,0,2,23103,0
37.62226512,1,1,10,3,1,3,1,0,3,1,1,0,5,1,2,1,22347,0
26,0,1,12,2,2,3,1,0,3,1,1,0,4,1,1,1,17544,0
45,0,1,6,3,2,2,3,1,3,2,5,0,1,1,1,2,20399,0
33,1,3,16,3,2,2,3,1,3,2,2,0,1,0,0,2,20487,0
28,0,3,6,2,2,2,4,1,3,1,2,1,1,0,0,2,21834,0
29,0,3,30,1,2,2,1,0,5,2,2,0,3,1,1,1,16091,1
39,0,3,27,2,1,2,5,1,3,1,7,0,5,0,0,2,20736,0
27,1,1,8,1,2,2,3,0,4,1,2,0,4,1,1,1,17226,0
34,0,1,28,2,2,2,4,1,3,1,2,1,1,1,0,2,20747,0
28,1,3,19,3,0,2,3,1,3,3,4,1,5,1,1,2,24854,1
47,0,1,20,1,2,3,3,1,4,1,1,0,3,0,2,2,20467,0
56,1,3,17,3,1,2,4,1,5,1,5,0,5,0,1,2,20380,0
39,1,1,15,3,2,2,3,1,5,1,2,0,4,1,0,2,20151,0
38,0,1,14,3,1,2,4,1,4,1,2,1,1,1,0,2,17133,0
58,1,3,27,2,1,3,3,4,3,1,5,1,5,1,0,0,32875,0
32,0,1,11,2,1,2,1,0,3,2,4,1,1,0,1,1,17432,1
38,1,1,15.49083459,2,2,3,3,0,3,1,3,0,1,1,1,1,19771,0
